,male,female
tuberculoses,1814293,1149383
hiv/aids,5856757,5605739
rheumatoid arthritis,252843,332297
bacterial pneumonia,1246855,900991
prostate cancer,1698625,326106
multiple sclerosis,404471,455014
syphilis,184883,123138
essential hypertension,697254,773273
sarcoidoses,44494,39772
colon cancer,535307,488549
gastric cancer,150423,98528
type 2 diabetes,482423,549933
lupus,351554,625754
hepatitis b,161623,201386
crohn’s disease,91335,93733
ulcerative colitis,72504,64819
ovarian cancer,189136,924159
multiple myeloma,102622,72228
endocarditis,36910,23987
chagas disease,10839,12547
takotsubo cardiomyopathy,8886,17250
covid-19,1078,251
