,white/caucasian,black,hispanic/latino,asian,native american/alaskan native,pacific islander
tuberculoses,12133,5129,613,148,86,61
covid-19,168,292,31,17,0,0
type 2 diabetes,31,64,9,11,3,3
hiv/aids,399,539,152,65,137,38
hepatitis b,1258,8,0,2,4,4
multiple sclerosis,20,8,0,0,0,0
essential hypertension,47,22,5,19,0,6
chagas disease,13,16,163,0,8,0
lupus,82,84,4,22,0,0
ovarian cancer,20,5,0,1,0,0
colon cancer,83,30,1,1,8,0
gastric cancer,27,16,0,0,0,0
prostate cancer,81,40,4,4,8,4
bacterial pneumonia,48,13,6,1,0,0
multiple myeloma,6,0,0,0,0,0
sarcoidoses,0,6,0,0,0,0
syphilis,21,17,3,0,0,0
ulcerative colitis,6,7,2,0,0,0
crohn’s disease,6,6,2,2,0,0
endocarditis,2,0,0,0,0,0
rheumatoid arthritis,5,0,0,0,0,0
takotsubo cardiomyopathy,0,0,0,0,0,0
