,male,female
tuberculoses,100909,63446
rheumatoid arthritis,12312,22344
hiv/aids,314421,340246
prostate cancer,156815,14515
multiple sclerosis,23305,33939
syphilis,11437,7168
gastric cancer,12186,7100
type 2 diabetes,27233,31445
essential hypertension,37159,42492
bacterial pneumonia,82252,55430
colon cancer,41027,34641
lupus,16477,41431
crohn’s disease,5940,6139
multiple myeloma,6667,4728
ovarian cancer,8033,81132
endocarditis,1692,991
sarcoidoses,2195,1958
hepatitis b,7666,10929
ulcerative colitis,4285,3673
takotsubo cardiomyopathy,373,842
chagas disease,459,586
covid-19,60,5
