,white/caucasian,black,native american/alaskan native,hispanic/latino,pacific islander,asian
tuberculoses,3512,3749,707,488,148,294
covid-19,18419,14226,659,2851,329,4820
hiv/aids,8708,19497,837,4168,279,1541
multiple sclerosis,612,337,12,53,2,33
ulcerative colitis,134,40,3,4,0,5
prostate cancer,768,1107,14,131,4,76
colon cancer,438,828,31,49,7,88
lupus,1371,1171,23,407,5,154
rheumatoid arthritis,293,66,11,27,0,15
chagas disease,47,117,0,77,0,0
syphilis,674,1057,100,194,54,24
essential hypertension,1077,1003,81,239,17,102
bacterial pneumonia,1868,2554,230,264,88,208
gastric cancer,303,396,21,31,4,138
type 2 diabetes,438,280,85,83,16,202
endocarditis,92,27,0,9,0,1
multiple myeloma,240,186,4,11,11,6
hepatitis b,294,196,5,42,128,528
ovarian cancer,282,309,26,49,2,45
crohn’s disease,18,8,1,0,0,1
sarcoidoses,145,105,2,1,0,7
takotsubo cardiomyopathy,8,7,0,0,0,1
