,male,female
tuberculoses,118330,60364
hiv/aids,208049,149511
covid-19,266031,134186
syphilis,16304,7005
lupus,10504,6495
multiple sclerosis,11230,9719
prostate cancer,25765,5414
bacterial pneumonia,90876,37717
rheumatoid arthritis,3283,2847
endocarditis,1158,469
essential hypertension,8563,5329
colon cancer,15803,7740
ovarian cancer,3625,11103
gastric cancer,12405,4783
ulcerative colitis,1386,409
type 2 diabetes,4688,2814
hepatitis b,2938,1949
multiple myeloma,3773,1844
chagas disease,598,236
sarcoidoses,1041,363
crohn’s disease,191,103
takotsubo cardiomyopathy,95,79
