,male,female
tuberculoses,457319,289102
rheumatoid arthritis,61009,92567
bacterial pneumonia,344629,246862
hiv/aids,1479187,1484797
prostate cancer,543496,78124
multiple sclerosis,105467,134196
syphilis,48571,31483
essential hypertension,176478,199287
gastric cancer,45409,28580
type 2 diabetes,122195,139834
lupus,83080,174558
colon cancer,159884,143909
hepatitis b,38332,49538
ulcerative colitis,18960,16825
crohn’s disease,24945,25678
multiple myeloma,27968,20334
ovarian cancer,43601,292721
endocarditis,8402,5313
sarcoidoses,10615,9590
takotsubo cardiomyopathy,1800,4170
chagas disease,2524,2911
covid-19,261,64
