,black,white/caucasian,hispanic/latino,asian,native american/alaskan native,pacific islander
hiv/aids,212554,122459,37794,12796,6237,2609
tuberculoses,40429,36309,4792,5017,4106,594
type 2 diabetes,13759,20731,7996,8862,4123,1701
lupus,13194,14530,4989,3358,1482,255
sarcoidoses,1783,2263,56,101,12,2
prostate cancer,27157,19932,2388,3370,545,200
chagas disease,1275,402,2682,20,7,0
multiple myeloma,1539,4657,330,145,19,18
ulcerative colitis,526,2007,75,147,34,12
crohn’s disease,669,2117,93,135,37,7
essential hypertension,25808,36852,4670,3847,723,447
rheumatoid arthritis,3365,9032,469,651,313,25
hepatitis b,3462,5217,865,5888,324,1190
ovarian cancer,3403,5630,634,552,71,66
colon cancer,9370,10149,1908,1982,786,244
bacterial pneumonia,6864,11130,1029,786,631,88
multiple sclerosis,2336,11745,639,489,134,28
syphilis,5618,2999,593,208,372,112
gastric cancer,1580,3003,713,1803,188,157
endocarditis,270,1415,65,74,10,3
takotsubo cardiomyopathy,39,258,9,32,4,2
covid-19,3,59,0,1,0,0
