,male,female
hiv/aids,9029,9170
covid-19,1196,572
tuberculoses,8842,6492
type 2 diabetes,406,953
essential hypertension,940,1363
bacterial pneumonia,902,1585
hepatitis b,548,929
syphilis,536,692
lupus,692,1032
gastric cancer,276,191
multiple myeloma,67,126
multiple sclerosis,109,170
rheumatoid arthritis,95,348
endocarditis,37,32
ovarian cancer,56,426
sarcoidoses,54,30
colon cancer,1142,1181
prostate cancer,1019,289
ulcerative colitis,20,31
crohn’s disease,11,16
chagas disease,61,77
takotsubo cardiomyopathy,0,0
