,white/caucasian,black,native american/alaskan native,hispanic/latino,pacific islander,asian
tuberculoses,1822,1931,392,230,97,138
covid-19,9111,7213,341,1382,152,2364
hiv/aids,4361,10292,422,2298,160,867
multiple sclerosis,321,161,3,28,0,14
lupus,736,628,8,251,2,82
rheumatoid arthritis,149,26,4,11,0,6
syphilis,371,598,54,112,25,8
essential hypertension,600,541,44,119,7,50
bacterial pneumonia,905,1294,125,131,42,110
prostate cancer,395,631,11,67,2,43
colon cancer,218,472,12,25,5,51
type 2 diabetes,214,127,48,48,8,108
endocarditis,40,17,0,4,0,1
multiple myeloma,3,0,0,0,0,0
takotsubo cardiomyopathy,1,6,0,0,0,1
sarcoidoses,0,0,0,0,0,0
hepatitis b,0,0,0,0,0,0
