,white/caucasian,black,hispanic/latino,asian,native american/alaskan native,pacific islander
tuberculoses,12133,5129,613,148,86,61
covid-19,168,292,31,17,0,0
type 2 diabetes,18,52,7,11,3,3
hiv/aids,399,539,152,65,137,38
multiple sclerosis,20,8,0,0,0,0
essential hypertension,47,22,5,19,0,6
lupus,82,84,4,22,0,0
colon cancer,83,30,1,1,8,0
prostate cancer,81,40,4,4,8,4
bacterial pneumonia,48,13,6,1,0,0
syphilis,21,17,3,0,0,0
endocarditis,2,0,0,0,0,0
rheumatoid arthritis,4,0,0,0,0,0
takotsubo cardiomyopathy,0,0,0,0,0,0
multiple myeloma,0,0,0,0,0,0
sarcoidoses,0,0,0,0,0,0
hepatitis b,0,0,0,0,0,0
