,male,female
hiv/aids,1378108,839103
bacterial pneumonia,532031,349847
lupus,286539,135818
tuberculoses,830446,341129
syphilis,240834,117988
rheumatoid arthritis,33429,39272
type 2 diabetes,36613,40939
endocarditis,7083,3998
ovarian cancer,21317,56108
essential hypertension,73930,63777
ulcerative colitis,8012,6519
chagas disease,2617,997
gastric cancer,33351,19599
prostate cancer,114692,36570
multiple sclerosis,43578,41898
crohn’s disease,2312,1660
colon cancer,52040,46268
hepatitis b,18224,14727
takotsubo cardiomyopathy,1168,1837
sarcoidoses,3372,2946
multiple myeloma,5557,4681
covid-19,15,8
