,white/caucasian,black,native american/alaskan native,hispanic/latino,pacific islander,asian
tuberculoses,8365,8306,1502,1256,307,737
covid-19,42390,32271,1653,6907,798,10476
hiv/aids,20208,43221,1907,9339,537,3476
multiple sclerosis,1284,700,30,118,4,83
endocarditis,224,58,1,35,0,5
syphilis,1603,2368,213,419,109,58
prostate cancer,1577,2211,52,267,11,147
colon cancer,1049,1626,59,137,18,183
lupus,2941,2396,74,744,17,333
rheumatoid arthritis,600,175,14,48,2,31
essential hypertension,2386,2071,181,568,36,238
bacterial pneumonia,4483,5543,497,685,189,434
type 2 diabetes,883,556,187,180,37,447
multiple myeloma,13,1,0,0,0,0
takotsubo cardiomyopathy,15,10,0,0,0,3
sarcoidoses,8,0,0,0,0,0
hepatitis b,0,0,0,0,0,0
