,male,female
tuberculoses,15379,7725
hiv/aids,22785,16250
syphilis,1931,727
lupus,1116,800
multiple sclerosis,1447,1371
bacterial pneumonia,12452,4406
rheumatoid arthritis,417,394
covid-19,23718,11373
essential hypertension,968,565
prostate cancer,3870,478
ovarian cancer,342,1649
gastric cancer,1723,634
colon cancer,2163,1024
type 2 diabetes,573,292
chagas disease,68,20
multiple myeloma,466,231
hepatitis b,334,201
ulcerative colitis,182,36
endocarditis,134,46
crohn’s disease,23,12
sarcoidoses,103,40
takotsubo cardiomyopathy,12,7
