,male,female
hiv/aids,54457,32459
bacterial pneumonia,24871,15102
lupus,12138,5415
tuberculoses,37608,15487
rheumatoid arthritis,1286,2024
syphilis,10602,4344
type 2 diabetes,1583,2089
endocarditis,240,146
essential hypertension,3102,2519
chagas disease,90,19
gastric cancer,1937,1073
multiple sclerosis,1868,2374
ulcerative colitis,314,251
colon cancer,2928,2421
hepatitis b,674,527
prostate cancer,7963,888
ovarian cancer,649,3672
multiple myeloma,286,200
takotsubo cardiomyopathy,19,74
sarcoidoses,119,96
crohn’s disease,106,74
covid-19,0,0
