,white/caucasian,black,hispanic/latino,asian,native american/alaskan native,pacific islander
tuberculoses,4497,4647,79,45,0,0
covid-19,653,503,19,8,4,4
hiv/aids,232,324,98,19,2,0
bacterial pneumonia,87,48,60,4,15,0
lupus,76,62,29,11,0,0
prostate cancer,1,21,2,8,0,0
syphilis,2,7,0,0,2,0
colon cancer,21,21,3,12,0,0
essential hypertension,120,94,24,15,4,2
multiple sclerosis,6,1,0,0,0,0
type 2 diabetes,78,31,0,6,0,0
rheumatoid arthritis,5,4,0,0,0,0
multiple myeloma,8,0,0,0,0,0
takotsubo cardiomyopathy,0,0,0,0,0,0
endocarditis,0,0,0,0,0,0
sarcoidoses,0,0,0,0,0,0
hepatitis b,0,0,0,0,0,0
