,black,white/caucasian,hispanic/latino,pacific islander,native american/alaskan native,asian
hiv/aids,99662,64809,16386,892,2854,8526
lupus,6399,7321,1815,46,242,533
bacterial pneumonia,9075,12327,678,104,561,387
syphilis,10215,10461,1257,241,974,381
tuberculoses,25637,36109,3088,423,2627,2065
type 2 diabetes,3760,6909,1877,432,1254,2331
endocarditis,285,830,24,2,4,19
rheumatoid arthritis,1835,3160,180,22,146,297
essential hypertension,11615,10849,1388,206,512,1302
multiple sclerosis,1276,2888,143,13,148,142
colon cancer,3795,5070,232,126,206,645
prostate cancer,5006,5107,463,116,207,1391
takotsubo cardiomyopathy,48,73,18,4,7,11
multiple myeloma,17,46,3,0,0,2
covid-19,1,1,0,0,0,0
sarcoidoses,10,4,0,0,0,0
hepatitis b,0,0,0,0,0,0
