,black,white/caucasian,hispanic/latino,asian,native american/alaskan native,pacific islander
tuberculoses,8624,7392,801,1015,915,84
hiv/aids,50247,25063,8356,2580,1252,537
lupus,3261,3142,1374,722,245,39
essential hypertension,6585,10954,983,634,79,73
type 2 diabetes,2983,3851,1813,2149,839,278
prostate cancer,7642,4478,533,786,79,26
colon cancer,2263,1917,440,448,191,57
multiple sclerosis,422,2929,117,93,26,4
syphilis,1812,567,103,32,70,35
bacterial pneumonia,974,1718,137,133,76,11
rheumatoid arthritis,487,1418,57,106,62,3
endocarditis,46,269,5,14,1,0
multiple myeloma,10,34,0,0,0,0
takotsubo cardiomyopathy,5,73,2,10,3,0
covid-19,0,8,0,0,0,0
sarcoidoses,0,0,0,0,0,0
hepatitis b,0,0,0,0,0,0
